POS;CLUB;PTS;PJ;PG;PE;PP;GF;GC;DIF
1;Universidad catolica;57;28;16;9;3;58;27;31
2;Union La Calera;54;28;17;3;8;53;32;21
3;Union Espanola;48;28;13;9;6;48;38;10
4;Palestino;44;30;12;8;10;41;39;2
5;Universidad de Chile;41;29;10;11;8;40;30;10
6;Deportes Antofagasta;41;30;10;11;9;37;37;0
7;Curico Unido;41;28;12;5;11;34;41;-7
8;Huachipato;40;30;11;7;12;37;40;-3
9;Santiago Wanderers;40;31;11;7;13;38;49;-11
10;O'Higgins;39;29;11;6;12;37;37;0
11;Everton;39;30;9;12;9;34;34;0
12;Cobresal;36;29;10;6;13;37;37;0
13;Audax Italiano;36;31;9;9;13;44;49;-5
14;U. de Concepcion;36;30;8;12;10;34;42;-8
15;Deportes La Serena;35;30;9;8;13;30;36;-6
